,PLAYER NAME,PLAYER TEAM,PLAYER POSITION,STATUS,TOTAL,Opponent,Location,rank,DATE,Week,Free_Agent,did_not_play,Name_Encoded,Team_Encoded,Opponent_Encoded,Home/Away_Encoded,total_5_game_avg,passing_yds_5_game_avg,passing_td_5_game_avg,receiving_rec_5_game_avg,receiving_yds_5_game_avg,receiving_td_5_game_avg,rushing_car_5_game_avg,rushing_yds_5_game_avg,rushing_td_5_game_avg,season_total,season_passing_yds,season_passing_td,season_receiving_rec,season_receiving_yds,season_receiving_td,season_rushing_car,season_rushing_yds,season_rushing_td,season_total_avg,season_passing_yds_avg,season_passing_td_avg,season_receiving_rec_avg,season_receiving_yds_avg,season_receiving_td_avg,season_rushing_car_avg,season_rushing_yds_avg,season_fantasy_points_avg
1264,AJ Dillon,GB,RB,W 33-10,2.7,Min,Away,65.0,01-02-24,17,False,0,0,11,20,0,2.7,0.0,0.0,0.0,0.0,0.0,7.0,27.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,7.0,27.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,7.0,27.0,2.7
149,AJ Dillon,GB,RB,W 38-20,5.6,Chi,Away,42.0,09-12-23,1,False,0,0,11,5,0,4.15,0.0,0.0,1.0,8.5,0.0,10.0,23.0,0.0,8.3,0.0,0.0,2.0,17.0,0.0,20.0,46.0,0.0,4.15,0.0,0.0,1.0,8.5,0.0,10.0,23.0,4.15
1336,AJ Dillon,GB,RB,L 24-25,7.3,Atl,Away,33.0,09-19-23,2,False,0,0,11,1,0,5.2,0.0,0.0,1.0,8.333333333333334,0.0,11.666666666666666,33.666666666666664,0.0,15.6,0.0,0.0,3.0,25.0,0.0,35.0,101.0,0.0,5.2,0.0,0.0,1.0,8.333333333333334,0.0,11.666666666666666,33.666666666666664,5.2
276,AJ Dillon,GB,RB,W 18-17,3.3,NO,Home,58.0,09-26-23,3,False,0,0,11,22,1,4.725,0.0,0.0,0.75,6.25,0.0,11.5,33.5,0.0,18.9,0.0,0.0,3.0,25.0,0.0,46.0,134.0,0.0,4.725,0.0,0.0,0.75,6.25,0.0,11.5,33.5,4.725
72,AJ Dillon,GB,RB,L 20-34,1.1,Det,Home,73.0,10-03-23,4,False,0,0,11,10,1,4.0,0.0,0.0,0.6,5.0,0.0,10.2,29.0,0.0,20.0,0.0,0.0,3.0,25.0,0.0,51.0,145.0,0.0,4.0,0.0,0.0,0.6,5.0,0.0,10.2,29.0,4.0
340,AJ Dillon,GB,RB,L 13-17,13.6,LV,Away,13.0,10-10-23,5,False,0,0,11,18,0,6.18,0.0,0.0,0.6,5.0,0.0,12.8,38.8,0.2,33.6,0.0,0.0,3.0,25.0,0.0,71.0,221.0,1.0,5.6000000000000005,0.0,0.0,0.5,4.166666666666667,0.0,11.833333333333334,36.833333333333336,5.6000000000000005
1655,AJ Dillon,GB,RB,L 17-19,11.5,Den,Away,21.5,10-24-23,7,False,0,0,11,9,0,7.359999999999999,0.0,0.0,0.6,8.4,0.0,13.2,47.2,0.2,45.1,0.0,0.0,5.0,59.0,0.0,86.0,282.0,1.0,6.442857142857143,0.0,0.0,0.7142857142857143,8.428571428571429,0.0,12.285714285714286,40.285714285714285,6.442857142857143
1546,AJ Dillon,GB,RB,L 10-24,10.2,Min,Home,24.0,10-31-23,8,False,0,0,11,20,1,7.94,0.0,0.0,1.4,15.0,0.0,11.4,38.4,0.2,55.3,0.0,0.0,10.0,100.0,0.0,92.0,293.0,1.0,6.9125,0.0,0.0,1.25,12.5,0.0,11.5,36.625,6.9125
631,AJ Dillon,GB,RB,W 20-3,5.3,LAR,Home,39.0,11-07-23,9,False,0,0,11,17,1,8.34,0.0,0.0,1.6,15.6,0.0,11.0,39.8,0.2,60.6,0.0,0.0,11.0,103.0,0.0,101.0,333.0,1.0,6.733333333333333,0.0,0.0,1.2222222222222223,11.444444444444445,0.0,11.222222222222221,37.0,6.733333333333333
928,AJ Dillon,GB,RB,L 19-23,9.1,Pit,Away,34.0,11-14-23,10,False,0,0,11,26,0,9.940000000000001,0.0,0.0,1.8,17.8,0.0,11.8,51.6,0.2,69.7,0.0,0.0,12.0,114.0,0.0,110.0,403.0,1.0,6.970000000000001,0.0,0.0,1.2,11.4,0.0,11.0,40.3,6.970000000000001
