,PLAYER NAME,PLAYER TEAM,PLAYER POSITION,STATUS,PROJ,PASSING YDS,PASSING TD,PASSING INT,RUSHING CAR,RUSHING YDS,RUSHING TD,RECEIVING REC,RECEIVING YDS,RECEIVING TD,RECEIVING TAR,MISC 2PC,MISC FUML,MISC TD,TOTAL,PASSING COMPLETION,PASSING ATTEMPTS,Opponent,Location,rank,DATE,Week,Free_Agent,did_not_play,Win_Loss
0,Christian McCaffrey,SF,RB,W 35-16,21.1,0.0,0.0,0.0,20.0,106.0,3.0,7.0,71.0,1.0,8.0,0.0,0.0,0.0,48.7,0.0,0.0,Ari,Home,1.0,10-03-23,4,False,0,1
5,David Montgomery,Det,RB,W 34-20,12.7,0.0,0.0,0.0,32.0,121.0,3.0,2.0,20.0,0.0,2.0,0.0,0.0,0.0,34.1,0.0,0.0,GB,Away,2.0,10-03-23,4,False,0,1
9,Josh Jacobs,LV,RB,L 17-24,15.2,0.0,0.0,0.0,17.0,58.0,1.0,8.0,81.0,0.0,11.0,0.0,0.0,0.0,27.9,0.0,0.0,LAC,Away,3.0,10-03-23,4,False,0,0
11,Kyren Williams,LAR,RB,W 29-23,18.0,0.0,0.0,0.0,25.0,103.0,2.0,3.0,24.0,0.0,3.0,0.0,0.0,0.0,27.7,0.0,0.0,Ind,Away,4.0,10-03-23,4,False,0,1
14,De'Von Achane,Mia,RB,L 20-48,12.6,0.0,0.0,0.0,8.0,101.0,2.0,3.0,19.0,0.0,5.0,0.0,0.0,0.0,27.0,0.0,0.0,Buf,Away,5.0,10-03-23,4,False,0,0
18,Isiah Pacheco,KC,RB,W 23-20,13.3,0.0,0.0,0.0,20.0,115.0,1.0,3.0,43.0,0.0,3.0,0.0,0.0,0.0,24.8,0.0,0.0,NYJ,Away,6.0,10-03-23,4,False,0,1
19,Derrick Henry,Ten,RB,W 27-3,16.9,2.0,1.0,0.0,22.0,122.0,1.0,1.0,11.0,0.0,1.0,0.0,0.0,0.0,24.38,1.0,1.0,Cin,Home,7.0,10-03-23,4,False,0,1
26,Khalil Herbert,Chi,RB,L 28-31,12.1,0.0,0.0,0.0,18.0,103.0,0.0,4.0,19.0,1.0,5.0,0.0,0.0,0.0,22.2,0.0,0.0,Den,Home,8.0,10-03-23,4,False,0,0
28,Alvin Kamara,NO,RB,L 9-26,14.5,0.0,0.0,0.0,11.0,51.0,0.0,13.0,33.0,0.0,14.0,0.0,0.0,0.0,21.4,0.0,0.0,TB,Home,9.0,10-03-23,4,False,0,0
33,Jaleel McLaughlin,Den,RB,W 31-28,1.4,0.0,0.0,0.0,7.0,72.0,0.0,3.0,32.0,1.0,3.0,0.0,0.0,0.0,19.4,0.0,0.0,Chi,Away,10.0,10-03-23,4,False,0,1
35,Bijan Robinson,Atl,RB,L 7-23,17.7,0.0,0.0,0.0,14.0,105.0,0.0,5.0,32.0,0.0,5.0,0.0,0.0,0.0,18.7,0.0,0.0,Jax,Away,11.0,10-03-23,4,False,0,0
38,D'Andre Swift,Phi,RB,W 34-31,14.3,0.0,0.0,0.0,14.0,56.0,1.0,4.0,23.0,0.0,4.0,0.0,0.0,0.0,17.9,0.0,0.0,Wsh,Home,12.0,10-03-23,4,False,0,1
56,James Cook,Buf,RB,W 48-20,14.9,0.0,0.0,0.0,12.0,29.0,1.0,1.0,48.0,0.0,1.0,0.0,0.0,0.0,14.7,0.0,0.0,Mia,Home,13.0,10-03-23,4,False,0,1
62,Kenneth Walker III,Sea,RB,W 24-3,17.6,0.0,0.0,0.0,17.0,79.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9,0.0,0.0,NYG,Away,14.0,10-03-23,4,False,0,1
66,Brian Robinson Jr.,Wsh,RB,L 31-34,11.3,0.0,0.0,0.0,14.0,45.0,1.0,2.0,6.0,0.0,2.0,0.0,0.0,0.0,13.1,0.0,0.0,Phi,Away,15.0,10-03-23,4,False,0,0
68,Matt Breida,NYG,RB,L 3-24,11.2,0.0,0.0,0.0,14.0,30.0,0.0,5.0,48.0,0.0,5.0,0.0,0.0,0.0,12.8,0.0,0.0,Sea,Home,16.0,10-03-23,4,False,0,0
75,Dameon Pierce,Hou,RB,W 30-6,12.4,0.0,0.0,0.0,24.0,81.0,0.0,1.0,27.0,0.0,2.0,0.0,0.0,0.0,11.8,0.0,0.0,Pit,Home,17.0,10-03-23,4,False,0,1
78,Jaylen Warren,Pit,RB,L 6-30,10.6,0.0,0.0,0.0,8.0,29.0,0.0,6.0,26.0,0.0,6.0,0.0,0.0,0.0,11.5,0.0,0.0,Hou,Away,18.0,10-03-23,4,False,0,0
81,Najee Harris,Pit,RB,L 6-30,11.2,0.0,0.0,0.0,14.0,71.0,0.0,1.0,32.0,0.0,2.0,0.0,0.0,0.0,11.3,0.0,0.0,Hou,Away,19.0,10-03-23,4,False,0,0
84,Alexander Mattison,Min,RB,W 21-13,15.2,0.0,0.0,0.0,17.0,95.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,10.8,0.0,0.0,Car,Away,20.5,10-03-23,4,False,0,1
85,Rachaad White,TB,RB,W 26-9,12.9,0.0,0.0,0.0,15.0,56.0,0.0,3.0,22.0,0.0,3.0,0.0,0.0,0.0,10.8,0.0,0.0,NO,Away,20.5,10-03-23,4,False,0,1
96,Travis Etienne Jr.,Jax,RB,W 23-7,17.5,0.0,0.0,0.0,20.0,55.0,0.0,3.0,17.0,0.0,3.0,0.0,0.0,0.0,10.2,0.0,0.0,Atl,Home,22.0,10-03-23,4,False,0,1
97,Breece Hall,NYJ,RB,L 20-23,11.4,0.0,0.0,0.0,6.0,56.0,0.0,3.0,13.0,0.0,4.0,0.0,0.0,0.0,9.9,0.0,0.0,KC,Home,23.0,10-03-23,4,False,0,0
104,Jerome Ford,Cle,RB,L 3-28,11.9,0.0,0.0,0.0,9.0,26.0,0.0,5.0,19.0,0.0,6.0,0.0,0.0,0.0,9.5,0.0,0.0,Bal,Home,24.0,10-03-23,4,False,0,0
111,Jahmyr Gibbs,Det,RB,W 34-20,12.5,0.0,0.0,0.0,8.0,40.0,0.0,4.0,11.0,0.0,5.0,0.0,0.0,0.0,9.1,0.0,0.0,GB,Away,25.0,10-03-23,4,False,0,1
112,Tony Pollard,Dal,RB,W 38-3,18.6,0.0,0.0,0.0,11.0,47.0,0.0,3.0,13.0,0.0,3.0,0.0,0.0,0.0,9.0,0.0,0.0,NE,Home,26.5,10-03-23,4,False,0,1
113,Zack Moss,Ind,RB,L 23-29,14.3,0.0,0.0,0.0,18.0,70.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,LAR,Home,26.5,10-03-23,4,False,0,0
114,Devin Singletary,Hou,RB,W 30-6,6.7,6.0,1.0,0.0,7.0,25.0,0.0,1.0,11.0,0.0,1.0,0.0,0.0,0.0,8.84,1.0,1.0,Pit,Home,28.0,10-03-23,4,False,0,1
115,Tyjae Spears,Ten,RB,W 27-3,8.7,0.0,0.0,0.0,5.0,40.0,0.0,3.0,18.0,0.0,4.0,0.0,0.0,0.0,8.8,0.0,0.0,Cin,Home,29.0,10-03-23,4,False,0,1
119,Joe Mixon,Cin,RB,L 3-27,14.7,0.0,0.0,0.0,14.0,67.0,0.0,1.0,9.0,0.0,1.0,0.0,0.0,0.0,8.6,0.0,0.0,Ten,Away,30.0,10-03-23,4,False,0,0
125,Ronnie Rivers,LAR,RB,W 29-23,4.4,0.0,0.0,0.0,9.0,47.0,0.0,2.0,10.0,0.0,2.0,0.0,0.0,0.0,7.7,0.0,0.0,Ind,Away,31.0,10-03-23,4,False,0,1
126,Latavius Murray,Buf,RB,W 48-20,5.1,0.0,0.0,0.0,4.0,32.0,0.0,2.0,24.0,0.0,2.0,0.0,0.0,0.0,7.6,0.0,0.0,Mia,Home,32.0,10-03-23,4,False,0,1
130,Chuba Hubbard,Car,RB,L 13-21,6.4,0.0,0.0,0.0,14.0,41.0,0.0,2.0,12.0,0.0,2.0,0.0,0.0,0.0,7.3,0.0,0.0,Min,Home,33.0,10-03-23,4,False,0,0
134,Cam Akers,Min,RB,W 21-13,2.1,0.0,0.0,0.0,5.0,40.0,0.0,2.0,11.0,0.0,2.0,0.0,0.0,0.0,7.1,0.0,0.0,Car,Away,34.0,10-03-23,4,False,0,1
137,Gus Edwards,Bal,RB,W 28-3,6.9,0.0,0.0,0.0,15.0,48.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,6.9,0.0,0.0,Cle,Away,35.0,10-03-23,4,False,0,1
141,James Conner,Ari,RB,L 16-35,14.1,0.0,0.0,0.0,11.0,52.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,6.6,0.0,0.0,SF,Away,36.0,10-03-23,4,False,0,0
143,Joshua Kelley,LAC,RB,W 24-17,13.4,0.0,0.0,0.0,17.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,LV,Home,37.0,10-03-23,4,False,0,1
