,PLAYER NAME,PLAYER TEAM,PLAYER POSITION,STATUS,TOTAL,Opponent,Location,rank,DATE,Week,Free_Agent,did_not_play,Name_Encoded,Team_Encoded,Opponent_Encoded,Home/Away_Encoded,total_5_game_avg,passing_yds_5_game_avg,passing_td_5_game_avg,receiving_rec_5_game_avg,receiving_yds_5_game_avg,receiving_td_5_game_avg,rushing_car_5_game_avg,rushing_yds_5_game_avg,rushing_td_5_game_avg,season_total,season_passing_yds,season_passing_td,season_receiving_rec,season_receiving_yds,season_receiving_td,season_rushing_car,season_rushing_yds,season_rushing_td,season_total_avg,season_passing_yds_avg,season_passing_td_avg,season_receiving_rec_avg,season_receiving_yds_avg,season_receiving_td_avg,season_rushing_car_avg,season_rushing_yds_avg,season_fantasy_points_avg
1912,A.J. Brown,Phi,WR,L 31-35,9.3,Ari,Home,45.0,01-02-24,17,False,0,0,25,0,1,9.3,0.0,0.0,4.0,53.0,0.0,0.0,0.0,0.0,9.3,0.0,0.0,4.0,53.0,0.0,0.0,0.0,0.0,9.3,0.0,0.0,4.0,53.0,0.0,0.0,0.0,9.3
1384,A.J. Brown,Phi,WR,L 10-27,-0.1,NYG,Away,163.0,01-09-24,18,False,0,0,25,23,0,4.6000000000000005,0.0,0.0,2.5,31.0,0.0,0.0,0.0,0.0,9.200000000000001,0.0,0.0,5.0,62.0,0.0,0.0,0.0,0.0,4.6000000000000005,0.0,0.0,2.5,31.0,0.0,0.0,0.0,4.6000000000000005
182,A.J. Brown,Phi,WR,W 25-20,14.9,NE,Away,21.0,09-12-23,1,False,0,0,25,21,0,8.033333333333333,0.0,0.0,4.0,47.0,0.0,0.0,0.0,0.0,24.1,0.0,0.0,12.0,141.0,0.0,0.0,0.0,0.0,8.033333333333333,0.0,0.0,4.0,47.0,0.0,0.0,0.0,8.033333333333333
2104,A.J. Brown,Phi,WR,W 34-28,6.9,Min,Home,69.5,09-19-23,2,False,0,0,25,20,1,7.75,0.0,0.0,4.0,42.5,0.0,0.0,0.0,0.0,31.0,0.0,0.0,16.0,170.0,0.0,0.0,0.0,0.0,7.75,0.0,0.0,4.0,42.5,0.0,0.0,0.0,7.75
334,A.J. Brown,Phi,WR,W 25-11,22.1,TB,Away,11.0,09-26-23,3,False,0,0,25,29,0,10.620000000000001,0.0,0.0,5.0,60.2,0.0,0.0,0.0,0.0,53.1,0.0,0.0,25.0,301.0,0.0,0.0,0.0,0.0,10.620000000000001,0.0,0.0,5.0,60.2,0.0,0.0,0.0,10.620000000000001
0,A.J. Brown,Phi,WR,W 34-31,38.5,Wsh,Home,1.0,10-03-23,4,False,0,0,25,31,1,16.46,0.0,0.0,6.0,84.6,0.4,0.0,0.0,0.0,91.6,0.0,0.0,34.0,476.0,2.0,0.0,0.0,0.0,15.266666666666666,0.0,0.0,5.666666666666667,79.33333333333333,0.3333333333333333,0.0,0.0,15.266666666666666
500,A.J. Brown,Phi,WR,W 23-14,18.7,LAR,Away,13.0,10-10-23,5,False,0,0,25,17,0,20.220000000000002,0.0,0.0,7.0,108.2,0.4,0.0,0.0,0.0,110.3,0.0,0.0,40.0,603.0,2.0,0.0,0.0,0.0,15.757142857142856,0.0,0.0,5.714285714285714,86.14285714285714,0.2857142857142857,0.0,0.0,15.757142857142856
2678,A.J. Brown,Phi,WR,L 14-20,20.1,NYJ,Away,7.0,10-17-23,6,False,0,0,25,24,0,21.259999999999998,0.0,0.0,7.0,118.6,0.4,0.0,0.0,0.0,130.4,0.0,0.0,47.0,734.0,2.0,0.0,0.0,0.0,16.3,0.0,0.0,5.875,91.75,0.25,0.0,0.0,16.3
2539,A.J. Brown,Phi,WR,W 31-17,29.7,Mia,Home,2.0,10-24-23,7,False,0,0,25,19,1,25.82,0.0,0.0,8.2,140.2,0.6,0.0,0.0,0.0,160.1,0.0,0.0,57.0,871.0,3.0,0.0,0.0,0.0,17.788888888888888,0.0,0.0,6.333333333333333,96.77777777777777,0.3333333333333333,0.0,0.0,17.788888888888888
2375,A.J. Brown,Phi,WR,W 38-31,33.0,Wsh,Away,3.0,10-31-23,8,False,0,0,25,31,0,28.0,0.0,0.0,8.0,140.0,1.0,0.0,0.0,0.0,193.1,0.0,0.0,65.0,1001.0,5.0,0.0,0.0,0.0,19.31,0.0,0.0,6.5,100.1,0.5,0.0,0.0,19.31
923,A.J. Brown,Phi,WR,W 28-23,19.6,Dal,Home,7.0,11-07-23,9,False,0,0,25,8,1,24.22,0.0,0.0,7.6,118.2,0.8,0.0,0.0,0.0,212.7,0.0,0.0,72.0,1067.0,6.0,0.0,0.0,0.0,19.336363636363636,0.0,0.0,6.545454545454546,97.0,0.5454545454545454,0.0,0.0,19.336363636363636
721,A.J. Brown,Phi,WR,W 21-17,1.8,KC,Away,90.5,11-21-23,11,False,0,0,25,15,0,20.84,0.0,0.0,6.6,94.4,0.8,0.0,0.0,0.0,214.5,0.0,0.0,73.0,1075.0,6.0,0.0,0.0,0.0,17.875,0.0,0.0,6.083333333333333,89.58333333333333,0.5,0.0,0.0,17.875
1555,A.J. Brown,Phi,WR,W 37-34,14.7,Buf,Home,27.0,11-28-23,12,False,0,0,25,3,1,19.76,0.0,0.0,6.2,75.6,1.0,0.0,0.0,0.0,229.2,0.0,0.0,78.0,1112.0,7.0,0.0,0.0,0.0,17.63076923076923,0.0,0.0,6.0,85.53846153846153,0.5384615384615384,0.0,0.0,17.63076923076923
793,A.J. Brown,Phi,WR,L 19-42,19.4,SF,Home,12.0,12-05-23,13,False,0,0,25,27,1,17.7,0.0,0.0,5.8,71.0,0.8,0.0,0.0,0.0,248.6,0.0,0.0,86.0,1226.0,7.0,0.0,0.0,0.0,17.757142857142856,0.0,0.0,6.142857142857143,87.57142857142857,0.5,0.0,0.0,17.757142857142856
1078,A.J. Brown,Phi,WR,L 13-33,16.4,Dal,Away,15.0,12-12-23,14,False,0,0,25,8,0,14.38,0.0,0.0,6.0,63.8,0.4,0.0,0.0,0.0,265.0,0.0,0.0,95.0,1320.0,7.0,0.0,0.0,0.0,17.666666666666668,0.0,0.0,6.333333333333333,88.0,0.4666666666666667,0.0,0.0,17.666666666666668
2236,A.J. Brown,Phi,WR,L 17-20,10.6,Sea,Away,32.5,12-19-23,15,False,0,0,25,28,0,12.58,0.0,0.0,5.6,61.8,0.2,0.0,0.0,0.0,275.6,0.0,0.0,100.0,1376.0,7.0,0.0,0.0,0.0,17.225,0.0,0.0,6.25,86.0,0.4375,0.0,0.0,17.225
1726,A.J. Brown,Phi,WR,W 33-25,14.0,NYG,Home,27.0,12-26-23,16,False,0,0,25,23,1,15.02,0.0,0.0,6.6,76.2,0.2,0.0,0.0,0.0,289.6,0.0,0.0,106.0,1456.0,7.0,0.0,0.0,0.0,17.03529411764706,0.0,0.0,6.235294117647059,85.6470588235294,0.4117647058823529,0.0,0.0,17.03529411764706
