,PLAYER NAME,PLAYER TEAM,PLAYER POSITION,STATUS,PROJ,PASSING YDS,PASSING TD,PASSING INT,RUSHING CAR,RUSHING YDS,RUSHING TD,RECEIVING REC,RECEIVING YDS,RECEIVING TD,RECEIVING TAR,MISC 2PC,MISC FUML,MISC TD,TOTAL,PASSING COMPLETION,PASSING ATTEMPTS,Opponent,Location,rank,DATE,Week,Free_Agent,did_not_play,Win_Loss
12,Cole Kmet,Chi,TE,L 28-31,7.6,0.0,0.0,0.0,1.0,1.0,0.0,7.0,85.0,2.0,9.0,0.0,0.0,0.0,27.6,0.0,0.0,Den,Home,1.0,10-03-23,4,False,0,0
17,Mark Andrews,Bal,TE,W 28-3,12.2,0.0,0.0,0.0,0.0,0.0,0.0,5.0,80.0,2.0,5.0,0.0,0.0,0.0,25.0,0.0,0.0,Cle,Away,2.0,10-03-23,4,False,0,1
49,Jonnu Smith,Atl,TE,L 7-23,6.5,0.0,0.0,0.0,0.0,0.0,0.0,6.0,95.0,0.0,6.0,0.0,0.0,0.0,15.5,0.0,0.0,Jax,Away,3.0,10-03-23,4,False,0,0
57,Jake Ferguson,Dal,TE,W 38-3,8.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,77.0,0.0,7.0,0.0,0.0,0.0,14.7,0.0,0.0,NE,Home,4.0,10-03-23,4,False,0,1
63,Drew Ogletree,Ind,TE,L 23-29,2.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,48.0,1.0,4.0,0.0,0.0,0.0,13.8,0.0,0.0,LAR,Home,5.0,10-03-23,4,False,0,0
65,Dalton Schultz,Hou,TE,W 30-6,7.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,42.0,1.0,3.0,0.0,0.0,0.0,13.2,0.0,0.0,Pit,Home,6.0,10-03-23,4,False,0,1
67,Evan Engram,Jax,TE,W 23-7,10.4,0.0,0.0,0.0,0.0,0.0,0.0,7.0,59.0,0.0,8.0,0.0,0.0,0.0,12.9,0.0,0.0,Atl,Home,7.0,10-03-23,4,False,0,1
73,Travis Kelce,KC,TE,W 23-20,17.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,60.0,0.0,9.0,0.0,0.0,0.0,12.0,0.0,0.0,NYJ,Away,8.0,10-03-23,4,False,0,1
79,Tyler Higbee,LAR,TE,W 29-23,8.4,0.0,0.0,0.0,0.0,0.0,0.0,5.0,64.0,0.0,11.0,0.0,0.0,0.0,11.4,0.0,0.0,Ind,Away,9.0,10-03-23,4,False,0,1
82,Zach Ertz,Ari,TE,L 16-35,9.3,0.0,0.0,0.0,0.0,0.0,0.0,6.0,53.0,0.0,10.0,0.0,0.0,0.0,11.3,0.0,0.0,SF,Away,10.0,10-03-23,4,False,0,0
87,David Njoku,Cle,TE,L 3-28,7.5,0.0,0.0,0.0,0.0,0.0,0.0,6.0,46.0,0.0,7.0,0.0,0.0,0.0,10.6,0.0,0.0,Bal,Home,11.5,10-03-23,4,False,0,0
88,Josh Whyle,Ten,TE,W 27-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,26.0,1.0,2.0,0.0,0.0,0.0,10.6,0.0,0.0,Cin,Home,11.5,10-03-23,4,False,0,1
