,PLAYER NAME,PLAYER TEAM,PLAYER POSITION,STATUS,PROJ,PASSING YDS,PASSING TD,PASSING INT,RUSHING CAR,RUSHING YDS,RUSHING TD,RECEIVING REC,RECEIVING YDS,RECEIVING TD,RECEIVING TAR,MISC 2PC,MISC FUML,MISC TD,TOTAL,PASSING COMPLETION,PASSING ATTEMPTS,Opponent,Location,rank,DATE,Week,Free_Agent,did_not_play,Win_Loss
1,A.J. Brown,Phi,WR,W 34-31,15.7,0.0,0.0,0.0,0.0,0.0,0.0,9.0,175.0,2.0,13.0,0.0,0.0,0.0,38.5,0.0,0.0,Wsh,Home,1.0,10-03-23,4,False,0,1
3,Stefon Diggs,Buf,WR,W 48-20,17.8,0.0,0.0,0.0,0.0,0.0,0.0,6.0,120.0,3.0,7.0,0.0,0.0,0.0,36.0,0.0,0.0,Mia,Home,2.0,10-03-23,4,False,0,1
4,Nico Collins,Hou,WR,W 30-6,12.2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,168.0,2.0,9.0,0.0,0.0,0.0,35.8,0.0,0.0,Pit,Home,3.0,10-03-23,4,False,0,1
6,Puka Nacua,LAR,WR,W 29-23,14.5,0.0,0.0,0.0,0.0,0.0,0.0,9.0,163.0,1.0,10.0,0.0,0.0,0.0,31.3,0.0,0.0,Ind,Away,4.0,10-03-23,4,False,0,1
13,DJ Moore,Chi,WR,L 28-31,12.3,0.0,0.0,0.0,0.0,0.0,0.0,8.0,131.0,1.0,9.0,0.0,0.0,0.0,27.1,0.0,0.0,Den,Home,5.0,10-03-23,4,False,0,0
15,Michael Wilson,Ari,WR,L 16-35,6.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,76.0,2.0,7.0,0.0,0.0,0.0,26.6,0.0,0.0,SF,Away,6.0,10-03-23,4,False,0,0
16,Justin Jefferson,Min,WR,W 21-13,22.1,0.0,0.0,0.0,0.0,0.0,0.0,6.0,85.0,2.0,9.0,0.0,0.0,0.0,26.5,0.0,0.0,Car,Away,7.0,10-03-23,4,False,0,1
24,Terry McLaurin,Wsh,WR,L 31-34,12.8,0.0,0.0,0.0,0.0,0.0,0.0,8.0,86.0,0.0,10.0,0.0,0.0,0.0,22.6,0.0,0.0,Phi,Away,8.0,10-03-23,4,False,0,0
30,Brandon Aiyuk,SF,WR,W 35-16,13.8,0.0,0.0,0.0,0.0,0.0,0.0,6.0,148.0,0.0,6.0,0.0,0.0,0.0,20.8,0.0,0.0,Ari,Home,9.0,10-03-23,4,False,0,1
32,Chris Godwin,TB,WR,W 26-9,12.7,0.0,0.0,0.0,0.0,0.0,0.0,8.0,114.0,0.0,11.0,0.0,0.0,0.0,19.4,0.0,1.0,NO,Away,10.0,10-03-23,4,False,0,1
36,Romeo Doubs,GB,WR,L 20-34,9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,95.0,0.0,13.0,0.0,0.0,0.0,18.5,0.0,0.0,Det,Home,11.0,10-03-23,4,False,0,0
37,Curtis Samuel,Wsh,WR,L 31-34,7.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,51.0,0.0,8.0,0.0,0.0,0.0,18.2,0.0,0.0,Phi,Away,12.0,10-03-23,4,False,0,0
40,Braxton Berrios,Mia,WR,L 20-48,6.9,0.0,0.0,0.0,1.0,11.0,0.0,6.0,43.0,1.0,6.0,0.0,0.0,0.0,17.4,0.0,0.0,Buf,Away,13.0,10-03-23,4,False,0,0
41,Amon-Ra St. Brown,Det,WR,W 34-20,16.7,0.0,0.0,0.0,0.0,0.0,0.0,5.0,56.0,1.0,7.0,0.0,0.0,0.0,16.6,0.0,0.0,GB,Away,14.5,10-03-23,4,False,0,1
42,Marquise Brown,Ari,WR,L 16-35,13.3,0.0,0.0,0.0,0.0,0.0,0.0,7.0,96.0,0.0,10.0,0.0,0.0,0.0,16.6,0.0,0.0,SF,Away,14.5,10-03-23,4,False,0,0
44,Christian Kirk,Jax,WR,W 23-7,12.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,84.0,0.0,12.0,0.0,0.0,0.0,16.4,0.0,0.0,Atl,Home,16.0,10-03-23,4,False,0,1
46,Nick Westbrook-Ikhine,Ten,WR,W 27-3,6.8,0.0,0.0,0.0,0.0,0.0,0.0,5.0,51.0,1.0,6.0,0.0,0.0,0.0,16.1,0.0,0.0,Cin,Home,17.0,10-03-23,4,False,0,1
47,Deven Thompkins,TB,WR,W 26-9,4.6,0.0,0.0,0.0,1.0,11.0,0.0,4.0,45.0,1.0,4.0,0.0,0.0,0.0,15.6,0.0,0.0,NO,Away,18.0,10-03-23,4,False,0,1
48,Davante Adams,LV,WR,L 17-24,20.6,0.0,0.0,0.0,0.0,0.0,0.0,8.0,75.0,0.0,13.0,0.0,0.0,0.0,15.5,0.0,0.0,LAC,Away,19.0,10-03-23,4,False,0,0
50,Adam Thielen,Car,WR,L 13-21,13.1,0.0,0.0,0.0,1.0,6.0,0.0,7.0,76.0,0.0,8.0,0.0,0.0,0.0,15.2,0.0,0.0,Min,Home,20.0,10-03-23,4,False,0,0
